"X","X.1","X.2","Round.1","Round.1.1","X.3","Totals","Totals.1","Totals.2","Totals.3","Totals.4","Shooting","Shooting.1","Shooting.2","Per.Game","Per.Game.1","Per.Game.2","Per.Game.3","Advanced","Advanced.1","Advanced.2","Advanced.3","year"
"1","1","NJN","Kenyon Martin\martike01","University of Cincinnati","15","757","23134","9325","5159","1439",".483",".234",".629","30.6","12.3","6.8","1.9","48.0",".100","0.7","15.5",0
"2","2","VAN","Stromile Swift\swiftst01","Louisiana State University","9","547","10804","4582","2535","275",".473",".074",".699","19.8","8.4","4.6","0.5","21.3",".095","-1.9","0.2",0
"3","3","LAC","Darius Miles\milesda01","","7","446","11730","4507","2190","840",".472",".168",".590","26.3","10.1","4.9","1.9","9.5",".039","-1.2","2.3",0
"4","4","CHI","Marcus Fizer\fizerma01","Iowa State University","6","289","6032","2782","1340","352",".435",".191",".691","20.9","9.6","4.6","1.2","2.7",".022","-4.7","-4.1",0
"5","5","ORL","Mike Miller\millemi01","University of Florida","17","1032","27812","10973","4376","2666",".459",".407",".769","26.9","10.6","4.2","2.6","60.7",".105","0.9","20.3",0
"6","6","ATL","DerMarr Johnson\johnsde03","University of Cincinnati","7","344","5930","2121","769","304",".411",".336",".789","17.2","6.2","2.2","0.9","6.4",".052","-1.6","0.6",0
"7","7","CHI","Chris Mihm\mihmch01","University of Texas at Austin","8","436","8758","3262","2302","223",".459",".231",".704","20.1","7.5","5.3","0.5","13.3",".073","-3.8","-4.1",0
"8","8","CLE","Jamal Crawford\crawfja01","University of Michigan","19","1314","38689","19244","2928","4480",".410",".347",".862","29.4","14.6","2.2","3.4","59.9",".074","-1.1","8.9",0
"9","9","HOU","Joel Przybilla\przybjo01","University of Minnesota","13","592","11733","2293","3665","256",".552",".000",".557","19.8","3.9","6.2","0.4","23.0",".094","-0.9","3.3",0
"10","10","ORL","Keyon Dooling\doolike01","University of Missouri","13","728","14134","5067","964","1601",".416",".349",".799","19.4","7.0","1.3","2.2","18.5",".063","-3.0","-3.6",0
"11","11","BOS","Jerome Moiso\moisoje01","University of California Los Angeles","5","145","1392","386","395","38",".489",".000",".593","9.6","2.7","2.7","0.3","2.1",".074","-3.8","-0.6",0
"12","12","DAL","Etan Thomas\thomaet01","Syracuse University","9","409","7084","2341","1927","149",".513","",".603","17.3","5.7","4.7","0.4","14.9",".101","-2.6","-1.0",0
"13","13","ORL","Courtney Alexander\alexaco02","California State University Fresno","3","187","4067","1690","409","227",".422",".339",".813","21.7","9.0","2.2","1.2","4.1",".048","-4.0","-2.1",0
"14","14","DET","Mateen Cleaves\cleavma01","Michigan State University","6","167","1863","609","175","310",".389",".267",".728","11.2","3.6","1.0","1.9","-0.8","-.021","-6.3","-2.0",0
"15","15","MIL","Jason Collier\collija02","Georgia Institute of Technology","5","151","2178","841","443","51",".455",".350",".738","14.4","5.6","2.9","0.3","1.9",".042","-6.3","-2.3",0
"16","16","SAC","Hedo Turkoglu\turkohe01","","15","997","26695","11022","3971","2832",".426",".384",".784","26.8","11.1","4.0","2.8","63.3",".114","1.2","21.4",0
"17","17","SEA","Desmond Mason\masonde01","Oklahoma State University","10","643","19641","7767","2863","1049",".449",".260",".740","30.5","12.1","4.5","1.6","23.1",".056","-2.4","-1.9",0
"18","18","LAC","Quentin Richardson\richaqu01","DePaul University","13","783","20785","8032","3666","1138",".397",".355",".718","26.5","10.3","4.7","1.5","32.8",".076","-0.3","8.9",0
"19","19","CHH","Jamaal Magloire\magloja01","University of Kentucky","12","680","14621","4917","4408","386",".480",".000",".639","21.5","7.2","6.5","0.6","27.7",".091","-2.9","-3.3",0
"20","20","PHI","Speedy Claxton\claxtsp01","Hofstra University","7","334","8548","3096","830","1441",".409",".193",".762","25.6","9.3","2.5","4.3","14.2",".080","-0.7","2.8",0
"21","21","TOR","Morris Peterson\petermo01","Michigan State University","11","711","19366","7628","2483","1090",".418",".373",".773","27.2","10.7","3.5","1.5","35.7",".089","0.0","9.7",0
"22","22","NYK","Donnell Harvey\harvedo01","University of Florida","5","205","3318","1150","827","161",".460",".100",".659","16.2","5.6","4.0","0.8","4.7",".069","-2.7","-0.6",0
"23","23","UTA","DeShawn Stevenson\stevede01","","13","824","18396","5930","1832","1355",".406",".340",".698","22.3","7.2","2.2","1.6","12.1",".032","-3.0","-4.6",0
"24","24","CHI","Dalibor Bagaric\bagarda01","","3","95","973","251","238","37",".361",".000",".559","10.2","2.6","2.5","0.4","-0.9","-.043","-6.8","-1.2",0
"25","25","PHO","Jake Tsakalidis\tsakaja01","","7","315","5005","1497","1238","101",".490",".000",".657","15.9","4.8","3.9","0.3","9.9",".095","-3.1","-1.3",0
"26","26","DEN","Mamadou N'Diaye\ndiayma02","Auburn University","5","69","858","262","225","8",".427",".000",".736","12.4","3.8","3.3","0.1","1.8",".101","-5.3","-0.7",0
"27","27","IND","Primoz Brezec\brezepr01","","8","342","6192","2452","1327","179",".498",".167",".701","18.1","7.2","3.9","0.5","10.8",".084","-2.5","-0.8",0
"28","28","POR","Erick Barkley\barkler01","St. John's University","2","27","266","77","21","40",".356",".267",".900","9.9","2.9","0.8","1.5","0.2",".027","-3.8","-0.1",0
"29","29","LAL","Mark Madsen\madsema01","Stanford University","9","453","5335","975","1157","181",".457",".063",".527","11.8","2.2","2.6","0.4","8.2",".074","-2.2","-0.2",0
"30","30","LAC","Marko Jaric\jaricma01","","7","447","11246","3193","1200","1600",".404",".344",".730","25.2","7.1","2.7","3.6","12.1",".052","-0.5","4.3",0
"31","31","DAL","Dan Langhi\langhda01","Vanderbilt University","4","133","1253","393","199","39",".391",".289",".613","9.4","3.0","1.5","0.3","0.3",".012","-6.8","-1.5",0
"32","32","CHI","A.J. Guyton\guytoaj01","Indiana University","3","80","1246","442","80","147",".377",".378",".822","15.6","5.5","1.0","1.8","0.3",".010","-5.4","-1.1",0
"33","33","CHI","Jake Voskuhl\voskuja01","University of Connecticut","9","450","6443","1814","1539","237",".487",".333",".714","14.3","4.0","3.4","0.5","11.6",".087","-2.2","-0.3",0
"34","34","CHI","Khalid El-Amin\elamikh01","University of Connecticut","1","50","936","314","81","145",".370",".333",".778","18.7","6.3","1.6","2.9","0.6",".030","-3.8","-0.4",0
"35","35","WAS","Mike Smith\smithmi03","University of Louisiana at Monroe","1","17","180","51","22","10",".322",".167",".625","10.6","3.0","1.3","0.6","-0.1","-.033","-5.5","-0.2",0
